,workclass,occupation
9723, Private, Tech-support
9724, Private, Adm-clerical
9725, State-gov, Transport-moving
9726, Private, Other-service
9727, Private, Handlers-cleaners
9728, Private, Machine-op-inspct
9729, Private, Handlers-cleaners
9730, Self-emp-inc, Exec-managerial
9731, Private, Adm-clerical
9732, Private, Sales
9733, Private, Adm-clerical
9734, Private, Exec-managerial
9735, Private, Craft-repair
9736, Private, Exec-managerial
9737, Private, Prof-specialty
9738, Private, Adm-clerical
9739, Self-emp-not-inc, Sales
9740, Private, Farming-fishing
9741, Private, Handlers-cleaners
9742, Private, Transport-moving
9743, Self-emp-not-inc, Exec-managerial
9744, Private, Craft-repair
9745, Private, Other-service
9746, State-gov, Farming-fishing
9747, Private, Sales
9748, Private, Exec-managerial
9749, Local-gov, Prof-specialty
9750, Private, Tech-support
9751, Private, Prof-specialty
9752, Private, Exec-managerial
9753, Local-gov, Protective-serv
9754, Self-emp-not-inc, Farming-fishing
9755, Private, Craft-repair
9756, Private, Adm-clerical
9757, Private, Other-service
9758, Private, Sales
9759, Private, Adm-clerical
9760, Private, Transport-moving
9761, Local-gov, Protective-serv
9762, Private, Exec-managerial
9763, Private, Machine-op-inspct
9764, Self-emp-not-inc, Prof-specialty
9765, Private, Exec-managerial
9766, Private, Exec-managerial
9767, Private, Sales
9768, Private, Craft-repair
9769, Private, Prof-specialty
9770, Private, Machine-op-inspct
9771, Private, Craft-repair
9772, Private, Adm-clerical
9773, Private, Sales
9774, Private, Adm-clerical
9775, Private, Sales
9776, Private, Adm-clerical
9777, Private, Sales
9778, ?, ?
9779, Private, Other-service
9780, Federal-gov, Craft-repair
9781, Private, Craft-repair
9782, Local-gov, Protective-serv
9783, Private, Tech-support
9784, Private, Adm-clerical
9785, Self-emp-inc, Craft-repair
9786, Private, Adm-clerical
9787, ?, ?
9788, Self-emp-not-inc, Craft-repair
9789, Private, Craft-repair
9790, Private, Adm-clerical
9791, Private, Transport-moving
9792, Private, Sales
9793, State-gov, Adm-clerical
9794, Private, Prof-specialty
9795, Local-gov, Craft-repair
9796, Private, Exec-managerial
9797, Self-emp-inc, Craft-repair
9798, Private, Exec-managerial
9799, Private, Exec-managerial
9800, Private, Machine-op-inspct
9801, Private, Exec-managerial
9802, Private, Craft-repair
9803, Private, Other-service
9804, Private, Sales
9805, Self-emp-inc, Exec-managerial
9806, Private, Priv-house-serv
9807, Private, Craft-repair
9808, Local-gov, Adm-clerical
9809, Private, Farming-fishing
9810, Private, Other-service
9811, Private, Prof-specialty
9812, Local-gov, Prof-specialty
9813, Private, Prof-specialty
9814, Private, Exec-managerial
9815, Private, Transport-moving
9816, Private, Prof-specialty
9817, Self-emp-not-inc, Prof-specialty
9818, Federal-gov, Adm-clerical
9819, Private, Prof-specialty
9820, Local-gov, Prof-specialty
9821, Self-emp-inc, Other-service
9822, Private, Sales
9823, Local-gov, Prof-specialty
9824, Private, Exec-managerial
9825, Local-gov, Adm-clerical
9826, Private, Adm-clerical
9827, Local-gov, Prof-specialty
9828, State-gov, Prof-specialty
9829, Self-emp-inc, Protective-serv
9830, Private, Transport-moving
9831, Private, Prof-specialty
9832, Private, Craft-repair
9833, Self-emp-not-inc, Farming-fishing
9834, Private, Machine-op-inspct
9835, Private, Other-service
9836, State-gov, Prof-specialty
9837, Private, Handlers-cleaners
9838, Private, Adm-clerical
9839, Private, Priv-house-serv
9840, Private, Adm-clerical
9841, Private, Craft-repair
9842, Self-emp-inc, Sales
9843, Private, Machine-op-inspct
9844, Private, Craft-repair
9845, Private, Sales
9846, Self-emp-not-inc, Transport-moving
9847, Self-emp-not-inc, Craft-repair
9848, Private, Other-service
9849, Private, Other-service
9850, Private, Exec-managerial
9851, Private, Adm-clerical
9852, Private, Machine-op-inspct
9853, Private, Priv-house-serv
9854, Private, Craft-repair
9855, Private, Sales
9856, Local-gov, Adm-clerical
9857, Self-emp-not-inc, Prof-specialty
9858, Private, Craft-repair
9859, Self-emp-not-inc, Exec-managerial
9860, ?, ?
9861, Self-emp-not-inc, Craft-repair
9862, State-gov, Prof-specialty
9863, Federal-gov, Adm-clerical
9864, Private, Craft-repair
9865, Private, Sales
9866, Private, Prof-specialty
9867, Private, Sales
9868, Private, Exec-managerial
9869, Private, Machine-op-inspct
9870, Private, Sales
9871, Federal-gov, Prof-specialty
9872, ?, ?
9873, Local-gov, Exec-managerial
9874, Self-emp-inc, Sales
9875, Local-gov, Protective-serv
9876, Private, Other-service
9877, Private, Adm-clerical
9878, Local-gov, Protective-serv
9879, Private, Machine-op-inspct
9880, Federal-gov, Adm-clerical
9881, Private, Adm-clerical
9882, Private, Tech-support
9883, Local-gov, Farming-fishing
9884, Self-emp-inc, Exec-managerial
9885, ?, ?
9886, Private, Other-service
9887, Private, Machine-op-inspct
9888, Private, Sales
9889, Private, Sales
9890, Private, Craft-repair
9891, Private, Machine-op-inspct
9892, Private, Other-service
9893, Private, Craft-repair
9894, Local-gov, Protective-serv
9895, Private, Other-service
9896, Private, Adm-clerical
9897, Private, Sales
9898, Private, Craft-repair
9899, Private, Other-service
9900, Private, Exec-managerial
9901, Private, Prof-specialty
9902, Private, Sales
9903, Private, Exec-managerial
9904, Private, Exec-managerial
9905, Private, Craft-repair
9906, Private, Exec-managerial
9907, ?, ?
9908, Private, Exec-managerial
9909, Private, Exec-managerial
9910, Private, Adm-clerical
9911, Private, Sales
9912, Private, Adm-clerical
9913, Private, Transport-moving
9914, Private, Machine-op-inspct
9915, Private, Sales
9916, Private, Transport-moving
9917, Self-emp-not-inc, Prof-specialty
9918, Private, Craft-repair
9919, Self-emp-inc, Exec-managerial
9920, Self-emp-not-inc, Exec-managerial
9921, Private, Craft-repair
9922, Private, Sales
9923, Private, Exec-managerial
9924, Private, Craft-repair
9925, Private, Craft-repair
9926, ?, ?
9927, ?, ?
9928, Self-emp-not-inc, Prof-specialty
9929, Local-gov, Adm-clerical
9930, Private, Tech-support
9931, Federal-gov, Adm-clerical
9932, Self-emp-not-inc, Craft-repair
9933, Private, Handlers-cleaners
9934, Private, Other-service
9935, Private, Transport-moving
9936, Self-emp-not-inc, Farming-fishing
9937, Self-emp-inc, Exec-managerial
9938, ?, ?
9939, Federal-gov, Prof-specialty
9940, Private, Prof-specialty
9941, Self-emp-not-inc, Prof-specialty
9942, Private, Transport-moving
9943, Private, Transport-moving
9944, Private, Sales
9945, Private, Sales
9946, Private, Other-service
9947, Private, Handlers-cleaners
9948, Self-emp-not-inc, Other-service
9949, Private, Other-service
9950, Private, Adm-clerical
9951, State-gov, Other-service
9952, State-gov, Prof-specialty
9953, Self-emp-not-inc, Other-service
9954, Private, Sales
9955, Self-emp-not-inc, Craft-repair
9956, Private, Other-service
9957, Private, Sales
9958, Self-emp-inc, Prof-specialty
9959, Private, Transport-moving
9960, Private, Machine-op-inspct
9961, Private, Handlers-cleaners
9962, Private, Prof-specialty
9963, Private, Prof-specialty
9964, Private, Exec-managerial
9965, Private, Other-service
9966, Private, Exec-managerial
9967, Private, Exec-managerial
9968, Private, Craft-repair
9969, Private, Machine-op-inspct
9970, Private, Adm-clerical
9971, Private, Craft-repair
9972, Local-gov, Prof-specialty
9973, Private, Machine-op-inspct
9974, Local-gov, Machine-op-inspct
9975, Private, Other-service
9976, Private, Machine-op-inspct
9977, Private, Adm-clerical
9978, Private, Sales
9979, Local-gov, Prof-specialty
9980, Private, Prof-specialty
9981, Private, Adm-clerical
9982, Private, Exec-managerial
9983, Private, Transport-moving
9984, Private, Craft-repair
9985, Private, Prof-specialty
9986, State-gov, Prof-specialty
9987, ?, ?
9988, Private, Sales
9989, Private, Handlers-cleaners
9990, Private, Other-service
9991, State-gov, Adm-clerical
9992, Private, Machine-op-inspct
9993, Private, Priv-house-serv
9994, Self-emp-not-inc, Craft-repair
9995, Private, Sales
9996, Private, Other-service
9997, Private, Transport-moving
9998, Private, Other-service
9999, Private, Sales
10000, Private, Adm-clerical
10001, Private, Exec-managerial
10002, Private, Craft-repair
10003, Self-emp-inc, Exec-managerial
10004, Private, Adm-clerical
10005, Private, Sales
10006, Private, Farming-fishing
10007, State-gov, Protective-serv
10008, Private, Priv-house-serv
10009, Private, Prof-specialty
10010, Private, Sales
10011, Private, Prof-specialty
10012, Private, Sales
10013, ?, ?
10014, Private, Sales
10015, ?, ?
10016, ?, ?
10017, Local-gov, Exec-managerial
10018, Private, Sales
10019, Private, Machine-op-inspct
10020, Private, Handlers-cleaners
10021, Private, Adm-clerical
10022, Private, Sales
10023, Private, Priv-house-serv
10024, Private, Prof-specialty
10025, Local-gov, Prof-specialty
10026, Private, Handlers-cleaners
10027, Private, Exec-managerial
10028, Private, Prof-specialty
10029, Private, Machine-op-inspct
10030, Private, Sales
10031, Private, Craft-repair
10032, Private, Other-service
10033, Private, Sales
10034, Private, Adm-clerical
10035, ?, ?
10036, Self-emp-inc, Prof-specialty
10037, Private, Adm-clerical
10038, Private, Craft-repair
10039, Private, Adm-clerical
10040, Private, Craft-repair
10041, Local-gov, Handlers-cleaners
10042, Self-emp-inc, Prof-specialty
10043, Private, Craft-repair
10044, Private, Prof-specialty
10045, Private, Other-service
10046, Local-gov, Protective-serv
10047, Private, Exec-managerial
10048, Federal-gov, Handlers-cleaners
10049, Private, Other-service
10050, Federal-gov, Other-service
10051, Self-emp-inc, Prof-specialty
10052, Private, Adm-clerical
10053, Self-emp-not-inc, Craft-repair
10054, Private, Handlers-cleaners
10055, State-gov, Prof-specialty
10056, ?, ?
10057, Self-emp-not-inc, Farming-fishing
10058, Private, Prof-specialty
10059, Private, Sales
10060, Private, Transport-moving
10061, Private, Tech-support
10062, Private, Prof-specialty
10063, Private, Sales
10064, ?, ?
10065, Private, Prof-specialty
10066, Private, Other-service
10067, Private, Craft-repair
10068, Self-emp-not-inc, Prof-specialty
10069, Private, Craft-repair
10070, Private, Machine-op-inspct
10071, Local-gov, Protective-serv
10072, Private, Machine-op-inspct
10073, Private, Handlers-cleaners
10074, Private, Machine-op-inspct
10075, Private, Machine-op-inspct
10076, Private, Adm-clerical
10077, Private, Farming-fishing
10078, Private, Sales
10079, Private, Exec-managerial
10080, Private, Sales
10081, Private, Sales
10082, Private, Prof-specialty
10083, Self-emp-not-inc, Farming-fishing
10084, Private, Exec-managerial
10085, Private, Other-service
10086, Self-emp-not-inc, Farming-fishing
10087, Private, Sales
10088, Private, Prof-specialty
10089, Federal-gov, Exec-managerial
10090, Private, Prof-specialty
10091, State-gov, Prof-specialty
10092, State-gov, Adm-clerical
10093, Private, Transport-moving
10094, ?, ?
10095, Private, Other-service
10096, Self-emp-not-inc, Prof-specialty
10097, Private, Other-service
10098, ?, ?
10099, Private, Craft-repair
10100, Self-emp-inc, Craft-repair
10101, Private, Other-service
10102, ?, ?
10103, Private, Protective-serv
10104, Private, Craft-repair
10105, Private, Machine-op-inspct
10106, Private, Adm-clerical
10107, Private, Adm-clerical
10108, Private, Other-service
10109, Private, Machine-op-inspct
10110, ?, ?
10111, Private, Craft-repair
10112, Private, Sales
10113, Private, Machine-op-inspct
10114, State-gov, Prof-specialty
10115, Private, Adm-clerical
10116, Private, Adm-clerical
10117, ?, ?
10118, Private, Transport-moving
10119, State-gov, Prof-specialty
10120, Private, Other-service
10121, Private, Exec-managerial
10122, Local-gov, Prof-specialty
10123, Private, Craft-repair
10124, Self-emp-not-inc, Farming-fishing
10125, Self-emp-not-inc, Adm-clerical
10126, ?, ?
10127, Private, Sales
10128, Private, Handlers-cleaners
10129, Private, Craft-repair
10130, Private, Machine-op-inspct
10131, Private, Other-service
10132, Self-emp-not-inc, Farming-fishing
10133, Private, Handlers-cleaners
10134, Private, Adm-clerical
10135, Private, Exec-managerial
10136, Self-emp-not-inc, Prof-specialty
10137, Private, Farming-fishing
10138, Private, Other-service
10139, ?, ?
10140, Private, Craft-repair
10141, Private, Handlers-cleaners
10142, Private, Farming-fishing
10143, ?, ?
10144, Self-emp-inc, Exec-managerial
10145, Private, Exec-managerial
10146, Private, Transport-moving
10147, Private, Exec-managerial
10148, Private, Handlers-cleaners
10149, Private, Sales
10150, Private, Adm-clerical
10151, Local-gov, Other-service
10152, Private, Sales
10153, Private, Craft-repair
10154, Private, Adm-clerical
10155, Private, Craft-repair
10156, Private, Handlers-cleaners
10157, Private, Craft-repair
10158, Private, Handlers-cleaners
10159, Private, Exec-managerial
10160, Private, Other-service
10161, ?, ?
10162, Private, Craft-repair
10163, Private, Machine-op-inspct
10164, Private, Adm-clerical
10165, Private, Other-service
10166, State-gov, Protective-serv
10167, Private, Machine-op-inspct
10168, Private, Prof-specialty
10169, Private, Sales
10170, Private, Prof-specialty
10171, Private, Exec-managerial
10172, Self-emp-inc, Sales
10173, Self-emp-not-inc, Sales
10174, Private, Machine-op-inspct
10175, Self-emp-not-inc, Prof-specialty
10176, Private, Priv-house-serv
10177, Private, Exec-managerial
10178, Private, Craft-repair
10179, Self-emp-inc, Prof-specialty
10180, Private, Priv-house-serv
10181, Private, Exec-managerial
10182, Private, Sales
10183, Self-emp-not-inc, Adm-clerical
10184, Self-emp-not-inc, Prof-specialty
10185, Self-emp-not-inc, Farming-fishing
10186, Private, Exec-managerial
10187, Private, Other-service
10188, Local-gov, Protective-serv
10189, Self-emp-not-inc, Craft-repair
10190, Private, Sales
10191, Local-gov, Prof-specialty
10192, Private, Prof-specialty
10193, Federal-gov, Tech-support
10194, Private, Handlers-cleaners
10195, Private, Machine-op-inspct
10196, Private, Prof-specialty
10197, Private, Prof-specialty
10198, Private, Craft-repair
10199, Private, Craft-repair
10200, Private, Machine-op-inspct
10201, Private, Machine-op-inspct
10202, Private, Exec-managerial
10203, Self-emp-inc, Sales
10204, Private, Prof-specialty
10205, Private, Machine-op-inspct
10206, Private, Adm-clerical
10207, Self-emp-not-inc, Prof-specialty
10208, Private, Other-service
10209, Private, Sales
10210, Self-emp-not-inc, Farming-fishing
10211, State-gov, Protective-serv
10212, Self-emp-not-inc, Prof-specialty
10213, Private, Other-service
10214, Self-emp-not-inc, Craft-repair
10215, Private, Prof-specialty
10216, Private, Other-service
10217, Private, Other-service
10218, Self-emp-not-inc, Craft-repair
10219, Private, Exec-managerial
10220, Private, Transport-moving
10221, Private, Exec-managerial
10222, ?, ?
10223, Self-emp-not-inc, Sales
10224, Private, Handlers-cleaners
10225, Private, Handlers-cleaners
10226, Private, Exec-managerial
10227, State-gov, Adm-clerical
10228, State-gov, Exec-managerial
10229, Private, Exec-managerial
10230, Private, Tech-support
10231, Self-emp-not-inc, Craft-repair
10232, ?, ?
10233, Private, Sales
10234, Private, Handlers-cleaners
10235, Private, Exec-managerial
10236, State-gov, Handlers-cleaners
10237, Private, Sales
10238, Private, Handlers-cleaners
10239, Private, Exec-managerial
10240, Private, Other-service
10241, Private, Exec-managerial
10242, Private, Craft-repair
10243, Self-emp-not-inc, Craft-repair
10244, Private, Sales
10245, Private, Craft-repair
10246, Private, Craft-repair
10247, Private, Handlers-cleaners
10248, Private, Exec-managerial
10249, Private, Adm-clerical
10250, Private, Craft-repair
10251, Private, Other-service
10252, Private, Exec-managerial
10253, ?, ?
10254, Private, Sales
10255, Self-emp-not-inc, Sales
10256, Private, Other-service
10257, Private, Adm-clerical
10258, Self-emp-inc, Exec-managerial
10259, Private, Craft-repair
10260, Self-emp-not-inc, Farming-fishing
10261, State-gov, Prof-specialty
10262, Private, Exec-managerial
10263, Private, Exec-managerial
10264, Private, Farming-fishing
10265, Private, Prof-specialty
10266, Self-emp-inc, Transport-moving
10267, Private, Machine-op-inspct
10268, Self-emp-inc, Exec-managerial
10269, Self-emp-not-inc, Prof-specialty
10270, Private, Prof-specialty
10271, Private, Sales
10272, Private, Adm-clerical
10273, Private, Sales
10274, Private, Craft-repair
10275, Private, Adm-clerical
10276, Private, Other-service
10277, Private, Adm-clerical
10278, Private, Prof-specialty
10279, Private, Other-service
10280, Self-emp-inc, Exec-managerial
10281, Private, Farming-fishing
10282, Private, Transport-moving
10283, Private, Machine-op-inspct
10284, Federal-gov, Tech-support
10285, Private, Other-service
10286, Federal-gov, Prof-specialty
10287, Self-emp-not-inc, Craft-repair
10288, Self-emp-inc, Exec-managerial
10289, Private, Craft-repair
10290, Private, Exec-managerial
10291, Private, Transport-moving
10292, Private, Adm-clerical
10293, Private, Craft-repair
10294, Private, Machine-op-inspct
10295, Private, Other-service
10296, Private, Tech-support
10297, Private, Prof-specialty
10298, Local-gov, Craft-repair
10299, Private, Adm-clerical
10300, Private, Transport-moving
10301, Private, Sales
10302, Private, Handlers-cleaners
10303, Private, Adm-clerical
10304, Private, Exec-managerial
10305, Private, Handlers-cleaners
10306, Private, Handlers-cleaners
10307, Private, Machine-op-inspct
10308, Private, Adm-clerical
10309, Private, Craft-repair
10310, Private, Machine-op-inspct
10311, Private, Other-service
10312, Private, Other-service
10313, Federal-gov, Adm-clerical
10314, Private, Tech-support
10315, Private, Adm-clerical
10316, State-gov, Exec-managerial
10317, Private, Exec-managerial
10318, Federal-gov, Protective-serv
10319, Private, Adm-clerical
10320, Private, Transport-moving
10321, Private, Adm-clerical
10322, Private, Other-service
10323, Private, Transport-moving
10324, State-gov, Tech-support
10325, Private, Prof-specialty
10326, Private, Prof-specialty
10327, Self-emp-not-inc, Prof-specialty
10328, ?, ?
10329, Private, Adm-clerical
10330, Private, Machine-op-inspct
10331, State-gov, Prof-specialty
10332, Private, Sales
10333, Local-gov, Prof-specialty
10334, Self-emp-not-inc, Craft-repair
10335, Private, Adm-clerical
10336, State-gov, Other-service
10337, Private, Other-service
10338, Private, Other-service
10339, Private, Craft-repair
10340, Private, Farming-fishing
10341, Private, Adm-clerical
10342, ?, ?
10343, Self-emp-not-inc, Craft-repair
10344, Self-emp-not-inc, Craft-repair
10345, Private, Machine-op-inspct
10346, Private, Adm-clerical
10347, Self-emp-not-inc, Farming-fishing
10348, Private, Other-service
10349, Private, Exec-managerial
10350, Private, Prof-specialty
10351, Private, Sales
10352, Private, Exec-managerial
10353, Private, Other-service
10354, Private, Adm-clerical
10355, Federal-gov, Protective-serv
10356, Private, Craft-repair
10357, Private, Other-service
10358, Private, Other-service
10359, Private, Handlers-cleaners
10360, Self-emp-not-inc, Handlers-cleaners
10361, ?, ?
10362, Private, Sales
10363, Private, Adm-clerical
10364, State-gov, Tech-support
10365, Self-emp-not-inc, Prof-specialty
10366, Private, Sales
10367, Private, Prof-specialty
10368, Private, Exec-managerial
10369, Private, Protective-serv
10370, Private, Exec-managerial
10371, Private, Craft-repair
10372, Private, Machine-op-inspct
10373, Self-emp-not-inc, Sales
10374, Private, Adm-clerical
10375, Private, Sales
10376, Private, Transport-moving
10377, Self-emp-inc, Transport-moving
10378, Private, Sales
10379, Local-gov, Protective-serv
10380, Private, Exec-managerial
10381, Private, Craft-repair
10382, State-gov, Exec-managerial
10383, Private, Sales
10384, Private, Adm-clerical
10385, Local-gov, Protective-serv
10386, Self-emp-not-inc, Prof-specialty
10387, Private, Handlers-cleaners
10388, Private, Craft-repair
10389, Private, Prof-specialty
10390, Private, Protective-serv
10391, Private, Craft-repair
10392, Private, Craft-repair
10393, Self-emp-not-inc, Prof-specialty
10394, Private, Prof-specialty
10395, Local-gov, Prof-specialty
10396, State-gov, Exec-managerial
10397, Private, Sales
10398, Private, Handlers-cleaners
10399, Private, Adm-clerical
10400, Private, Adm-clerical
10401, Private, Farming-fishing
10402, Private, Prof-specialty
10403, Private, Craft-repair
10404, Private, Sales
10405, Private, Prof-specialty
10406, Private, Sales
10407, Private, Other-service
10408, Private, Machine-op-inspct
10409, Private, Exec-managerial
10410, Self-emp-not-inc, Craft-repair
10411, ?, ?
10412, Private, Adm-clerical
10413, Private, Sales
10414, Private, Craft-repair
10415, Private, Adm-clerical
10416, Private, Adm-clerical
10417, Private, Sales
10418, Private, Transport-moving
10419, Private, Sales
10420, Private, Other-service
10421, Private, Prof-specialty
10422, Federal-gov, Farming-fishing
10423, Self-emp-not-inc, Prof-specialty
10424, Private, Craft-repair
10425, ?, ?
10426, Private, Prof-specialty
10427, Private, Machine-op-inspct
10428, Private, Craft-repair
10429, Self-emp-inc, Prof-specialty
10430, Private, Sales
10431, Self-emp-not-inc, Exec-managerial
10432, Self-emp-inc, Machine-op-inspct
10433, Private, Other-service
10434, State-gov, Prof-specialty
10435, Private, Adm-clerical
10436, Local-gov, Prof-specialty
10437, ?, ?
10438, Self-emp-inc, Exec-managerial
10439, Private, Machine-op-inspct
10440, ?, ?
10441, Private, Other-service
10442, Private, Other-service
10443, Self-emp-not-inc, Other-service
10444, Self-emp-inc, Farming-fishing
10445, Local-gov, Handlers-cleaners
10446, Federal-gov, Prof-specialty
10447, Private, Sales
10448, Private, Adm-clerical
10449, Private, Other-service
10450, Local-gov, Adm-clerical
10451, Private, Other-service
10452, Local-gov, Adm-clerical
10453, Self-emp-not-inc, Sales
10454, Private, Prof-specialty
10455, Private, Prof-specialty
10456, Private, Machine-op-inspct
10457, Private, Exec-managerial
10458, Self-emp-not-inc, Craft-repair
10459, Private, Exec-managerial
10460, ?, ?
10461, Private, Sales
10462, Private, Machine-op-inspct
10463, Private, Adm-clerical
10464, Private, Adm-clerical
10465, Private, Protective-serv
10466, State-gov, Exec-managerial
10467, Private, Other-service
10468, Self-emp-not-inc, Farming-fishing
10469, Private, Transport-moving
10470, Self-emp-not-inc, Sales
10471, Private, Adm-clerical
10472, Private, Other-service
10473, Private, Machine-op-inspct
10474, Private, Craft-repair
10475, ?, ?
10476, Private, Farming-fishing
10477, Private, Transport-moving
10478, Private, Adm-clerical
10479, Private, Exec-managerial
10480, Local-gov, Other-service
10481, Private, Exec-managerial
10482, Self-emp-inc, Prof-specialty
10483, Private, Exec-managerial
10484, Private, Other-service
10485, ?, ?
10486, ?, ?
10487, Private, Prof-specialty
10488, Private, Farming-fishing
10489, Federal-gov, Exec-managerial
10490, Private, Other-service
10491, Private, Other-service
10492, Private, Other-service
10493, Local-gov, Prof-specialty
10494, Private, Craft-repair
10495, Private, Craft-repair
10496, Private, Exec-managerial
10497, Private, Machine-op-inspct
10498, Self-emp-not-inc, Sales
10499, Self-emp-not-inc, Exec-managerial
10500, Federal-gov, Adm-clerical
10501, Private, Transport-moving
10502, Private, Exec-managerial
10503, Self-emp-not-inc, Other-service
10504, Private, Protective-serv
10505, Private, Exec-managerial
10506, Private, Transport-moving
10507, Private, Machine-op-inspct
10508, Private, Machine-op-inspct
10509, Private, Protective-serv
10510, Private, Adm-clerical
10511, Private, Craft-repair
10512, Private, Craft-repair
10513, Private, Farming-fishing
10514, Private, Sales
10515, Federal-gov, Adm-clerical
10516, Private, Craft-repair
10517, Private, Machine-op-inspct
10518, Private, Prof-specialty
10519, Private, Adm-clerical
10520, Local-gov, Adm-clerical
10521, Self-emp-inc, Transport-moving
10522, Self-emp-not-inc, Prof-specialty
10523, Private, Craft-repair
10524, Private, Prof-specialty
10525, Private, Other-service
10526, State-gov, Prof-specialty
10527, State-gov, Adm-clerical
10528, Private, Exec-managerial
10529, Private, Exec-managerial
10530, Local-gov, Exec-managerial
10531, Private, Sales
10532, Private, Sales
10533, Private, Prof-specialty
10534, Private, Machine-op-inspct
10535, State-gov, Prof-specialty
10536, Private, Sales
10537, Private, Craft-repair
10538, Private, Sales
10539, ?, ?
10540, Self-emp-not-inc, Exec-managerial
10541, Private, Exec-managerial
10542, Private, Adm-clerical
10543, Private, Transport-moving
10544, Private, Sales
10545, Private, Craft-repair
10546, ?, ?
10547, Private, Exec-managerial
10548, Private, Sales
10549, Private, Exec-managerial
10550, Private, Exec-managerial
10551, Private, Machine-op-inspct
10552, Private, Prof-specialty
10553, Private, Other-service
10554, Private, Machine-op-inspct
10555, Private, Other-service
10556, Private, Priv-house-serv
10557, Private, Handlers-cleaners
10558, Private, Craft-repair
10559, Private, Farming-fishing
10560, Private, Craft-repair
10561, Private, Farming-fishing
10562, Private, Transport-moving
10563, State-gov, Adm-clerical
10564, Federal-gov, Transport-moving
10565, Self-emp-not-inc, Craft-repair
10566, Private, Exec-managerial
10567, Federal-gov, Adm-clerical
10568, Local-gov, Prof-specialty
10569, Local-gov, Prof-specialty
10570, ?, ?
10571, Private, Adm-clerical
10572, Private, Exec-managerial
10573, State-gov, Protective-serv
10574, Private, Other-service
10575, Private, Prof-specialty
10576, Private, Protective-serv
10577, Private, Other-service
10578, Self-emp-inc, Exec-managerial
10579, Private, Machine-op-inspct
10580, Self-emp-inc, Sales
10581, ?, ?
10582, Private, Prof-specialty
10583, Private, Exec-managerial
10584, Private, Craft-repair
10585, Private, Adm-clerical
10586, Private, Adm-clerical
10587, Private, Adm-clerical
10588, Private, Adm-clerical
10589, Local-gov, Craft-repair
10590, Private, Prof-specialty
10591, Private, Craft-repair
10592, Private, Sales
10593, Private, Other-service
10594, Private, Exec-managerial
10595, Private, Adm-clerical
10596, State-gov, Prof-specialty
10597, State-gov, Prof-specialty
10598, Private, Adm-clerical
10599, Private, Adm-clerical
10600, Private, Exec-managerial
10601, Private, Transport-moving
10602, Private, Prof-specialty
10603, Private, Craft-repair
10604, Private, Craft-repair
10605, Self-emp-not-inc, Other-service
10606, Private, Machine-op-inspct
10607, Private, Adm-clerical
10608, State-gov, Protective-serv
10609, Federal-gov, Adm-clerical
10610, Federal-gov, Craft-repair
10611, Private, Craft-repair
10612, Federal-gov, Adm-clerical
10613, Private, Craft-repair
10614, Local-gov, Adm-clerical
10615, Local-gov, Craft-repair
10616, State-gov, Tech-support
10617, Private, Handlers-cleaners
10618, Private, Exec-managerial
10619, Private, Handlers-cleaners
10620, Private, Craft-repair
10621, Private, Craft-repair
10622, Private, Other-service
10623, State-gov, Adm-clerical
10624, Private, Craft-repair
10625, Self-emp-inc, Exec-managerial
10626, Private, Machine-op-inspct
10627, Self-emp-not-inc, Exec-managerial
10628, Private, Sales
10629, Local-gov, Protective-serv
10630, Private, Other-service
10631, Private, Other-service
10632, State-gov, Exec-managerial
10633, Private, Transport-moving
10634, Self-emp-not-inc, Exec-managerial
10635, Federal-gov, Exec-managerial
10636, Private, Prof-specialty
10637, Private, Exec-managerial
10638, Private, Other-service
10639, Private, Transport-moving
10640, Private, Machine-op-inspct
10641, Private, Craft-repair
10642, Private, Prof-specialty
10643, Private, Adm-clerical
10644, Private, Transport-moving
10645, Private, Other-service
10646, Private, Sales
10647, Local-gov, Exec-managerial
10648, Private, Craft-repair
10649, Private, Craft-repair
10650, Private, Craft-repair
10651, Self-emp-not-inc, Craft-repair
10652, Local-gov, Tech-support
10653, Private, Machine-op-inspct
10654, Local-gov, Other-service
10655, Private, Adm-clerical
10656, Private, Machine-op-inspct
10657, Local-gov, Prof-specialty
10658, Private, Sales
10659, Local-gov, Prof-specialty
10660, Federal-gov, Other-service
10661, Private, Prof-specialty
10662, Private, Handlers-cleaners
10663, Private, Prof-specialty
10664, Private, Transport-moving
10665, Private, Protective-serv
10666, State-gov, Protective-serv
10667, Private, Exec-managerial
10668, State-gov, Adm-clerical
10669, Private, Farming-fishing
10670, Private, Prof-specialty
10671, Private, Sales
10672, Self-emp-not-inc, Craft-repair
10673, ?, ?
10674, Private, Prof-specialty
10675, Private, Handlers-cleaners
10676, Private, Other-service
10677, Private, Adm-clerical
10678, Self-emp-not-inc, Farming-fishing
10679, ?, ?
10680, Private, Handlers-cleaners
10681, ?, ?
10682, Local-gov, Prof-specialty
10683, ?, ?
10684, ?, ?
10685, Private, Prof-specialty
10686, Private, Handlers-cleaners
10687, Private, Prof-specialty
10688, Self-emp-inc, Sales
10689, Private, Handlers-cleaners
10690, Private, Prof-specialty
10691, Federal-gov, Prof-specialty
10692, Local-gov, Adm-clerical
10693, Private, Prof-specialty
10694, State-gov, Exec-managerial
10695, Federal-gov, Exec-managerial
10696, Private, Transport-moving
10697, State-gov, Adm-clerical
10698, Private, Other-service
10699, Private, Sales
10700, ?, ?
